MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
Maruti SuzukiWagon R 1.0LXi CNG (O),Maruti Suzuki,Wagon R 1.0,LXi CNG (O),Hatchback,Petrol + CNG,3,Manual,Golden,"75,000",1,4,7.5,554423,333750,39.8
ToyotaInnova2.5E8Str,Toyota,Innova,2.5E8Str,MUV,Diesel,8,Manual,White,"42,566",2,5,9.1,1089475,627559,42.4
ToyotaCorolla Altis1.8 J,Toyota,Corolla Altis,1.8 J,Sedan,Petrol,8,Manual,Golden,"37,000",1,8.5,4.9,1352344,417198,69.2
HondaJazzVCvtI-vtec,Honda,Jazz,VCvtI-vtec,MUV,Petrol,2,Automatic,Grey,"5,300",1,9.9,6.4,975803,783822,19.7
HondaCity Zx1.5GxiCvt,Honda,City Zx,1.5GxiCvt,MUV,Petrol,10,Automatic,Black,"85,900",3,4.3,9.9,838780,197999,76.4
HondaAmaze1.5 E i-DTEC,Honda,Amaze,1.5 E i-DTEC,Sedan,Diesel,5,Manual,White,"34,000",1,9.9,6.7,813578,497200,38.9
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,11,Manual,Grey,"60,000",2,4.5,7.9,837628,206800,75.3
HondaCivic1.8I-vtec,Honda,Civic,1.8I-vtec,Hatchback,Petrol,11,Manual,White,"81,000",2,4.3,9.9,1303955,198000,84.8
HondaJazzSvI-dtec,Honda,Jazz,SvI-dtec,SUV,Diesel,3,Manual,Golden,"16,000",1,9.9,4.2,989632,690000,30.3
Maruti SuzukiWagon RGreenLxiCng,Maruti Suzuki,Wagon R,GreenLxiCng,Hatchback,Petrol + CNG,4,Manual,Other,"35,000",1,8.3,5.4,516328,322807,37.5
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,12,Manual,Silver,"84,000",2,4.3,8.9,837628,180400,78.5
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,10,Manual,White,"42,000",1,5,7,806541,210320,73.9
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,10,Manual,Grey,"74,000",2,5,9.6,837628,158400,81.1
Maruti SuzukiRitzVdi BS-IV,Maruti Suzuki,Ritz,Vdi BS-IV,Hatchback,Diesel,7,Manual,Silver,"52,121",2,5,6.8,651184,256128,60.7
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,11,Manual,Black,"97,000",2,4.8,7.3,1317441,501942,61.9
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,4,Manual,Grey,"53,000",1,8.1,7.3,1585233,1112540,29.8
Maruti SuzukiAltoLXi BS-IV,Maruti Suzuki,Alto,LXi BS-IV,Hatchback,Petrol,7,Manual,Blue,"33,000",2,8.5,5.9,342090,158400,53.7
HondaAmaze1.2 VX  (O)  i-VTEC,Honda,Amaze,1.2 VX  (O)  i-VTEC,Sedan,Petrol,5,Manual,Silver,"25,000",1,8.5,6,853837,407541,52.3
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,5,Manual,Grey,"45,775",1,8.3,6.7,514112,247072,51.9
ToyotaCorollaH2 1.8E,Toyota,Corolla,H2 1.8E,Sedan,Petrol,10,Manual,White,"65,000",1,5,7.5,1306402,220000,83.2
ToyotaCorolla AltisG Diesel,Toyota,Corolla Altis,G Diesel,Sedan,Diesel,7,Manual,Silver,"75,000",2,4.8,8.7,2109722,497200,76.4
HondaCityIVtecCvtVx,Honda,City,IVtecCvtVx,Hatchback,Petrol,4,Automatic,White,"25,000",1,8.5,5.8,1514307,873584,42.3
ToyotaInnova2.5 V 8 STR,Toyota,Innova,2.5 V 8 STR,MUV,Diesel,12,Manual,Silver,"68,000",2,4.5,9.9,1322223,426550,67.7
Maruti SuzukiSwift DzireVDi BS-IV,Maruti Suzuki,Swift Dzire,VDi BS-IV,Sedan,Diesel,3,Manual,White,"50,674",1,4.4,5,783061,578358,26.1
ToyotaCorolla Altis1.8JS,Toyota,Corolla Altis,1.8JS,Sedan,Petrol,5,Manual,Silver,"57,100",1,4.8,7.2,1538468,544800,64.6
ToyotaInnova2.5 G4 7 STR,Toyota,Innova,2.5 G4 7 STR,MUV,Diesel,11,Manual,Beige,"114,000",2,4.8,9.1,1115556,417198,62.6
ToyotaCorolla Altis1.8JS,Toyota,Corolla Altis,1.8JS,Sedan,Petrol,6,Manual,Silver,"37,999",2,4.3,9.9,1538468,448120,70.9
Maruti SuzukiErtigaZXI,Maruti Suzuki,Ertiga,ZXI,MUV,Petrol,2,Manual,White,"20,901",1,9.5,6.6,965624,690000,28.5
ToyotaCorollaH5 1.8E,Toyota,Corolla,H5 1.8E,Sedan,Petrol,12,Manual,Beige,"43,000",2,6.8,9.6,1381794,189200,86.3
ToyotaInnova2.5 G 8 STR BS-III,Toyota,Innova,2.5 G 8 STR BS-III,MUV,diesel,5,Manual,Grey,"35,467",1,6.1,7.2,1465683,989100,32.5
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,diesel,12,Manual,Silver,"113,000",2,6.1,6,1317441,459408,65.1
ToyotaCorolla Altis1.8Vl,Toyota,Corolla Altis,1.8Vl,Sedan,Petrol,10,Automatic,Golden,"60,000",2,6.8,9.9,1822366,403200,77.9
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,8,Manual,Silver,"60,000",1,6.4,9.2,1525510,450000,70.5
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,3,Manual,Other,"13,000",1,5,8,520309,324558,37.6
Maruti SuzukiSx4ZXI AT BS-IV,Maruti Suzuki,Sx4,ZXI AT BS-IV,Sedan,Petrol,8,Automatic,Blue,"31,349",1,6.2,6,1002965,347568,65.3
Maruti SuzukiErtigaVDI SHVS,Maruti Suzuki,Ertiga,VDI SHVS,MUV,Diesel,1,Manual,Superior White,"22,300",1,4.2,8.8,1145459,889200,22.4
